ELECTORS : 566683 VOTERS  : 367086,POLL PERCENTAGE  : 64.78%  VALID VOTES ,: 360503
Constituency  : 14 . MACHILIPATNAM,"",""
1 . MEDURI NAGESWARRAO,M INC 278514,75.39%
2 . VENKATASWAMY MANDALA,M SWA 73640,19.93%
3 . K. R. SHARMA,M IND 9896,2.68%
4 . VIDYUNDVALLI SASTRY PURANAM,M IND 5376,1.46%
5 . RACHABATHUNI SRIGIRIMURTY,M IND 1035,0.28%
6 . SADHU CHOPPARA,M IND 964,0.26%
ELECTORS : 548112 VOTERS  : 375631,POLL PERCENTAGE  : 68.53%  VALID VOTES ,: 369425
Constituency  : 15 . ONGOLE,"",""
1 . P. ANKINEEDU PRASADA RAO,M INC 284597,70.89%
2 . GOGINENI BHARATI DEVI,M SWA 104703,26.08%
3 . SALAGALA BENJAMIN,M IND 10487,2.61%
4 . G. N. RAJA RAO,M IND 1696,0.42%
ELECTORS : 598524 VOTERS  : 409854,POLL PERCENTAGE  : 68.48%  VALID VOTES ,: 401483
Constituency  : 16 . GUNTUR,"",""
1 . KOTHA RAGHURAMAIAH,M INC 260086,62.45%
2 . JUPUDI YAGNA NARAYANA,M BJS 69068,16.59%
3 . VEMULAPALLI SRIKRISHNA,M CPI 47428,11.39%
4 . MOTURI HANUMANTHA RAO,M CPM 29340,7.05%
5 . KOLLA CHENCHAIAH,M IND 4613,1.11%
6 . GUTHIKONDA NARAHARI,M IND 1861,0.45%
7 . GOVINDARAJU LAXMINARAYANA,M IND 1640,0.39%
8 . INTURI SAMBASIVARAO,M IND 1424,0.34%
9 . ONGOLE PAPARAO,M IND 979,0.24%
ELECTORS : 629787 VOTERS  : 424053,POLL PERCENTAGE  : 67.33%  VALID VOTES ,: 416439
Constituency  : 17 . NARASARAOPET,"",""
1 . MADDI SUDARSANAM,M INC 237264,64.84%
2 . YEERAM CHINA NARASIMHARAO,M IND 106413,29.08%
3 . NARISETTY VIJAYARAJAKUMAR,M IND 8596,2.35%
4 . JONNALAGADDA JOSHI,M IND 5802,1.59%
5 . MORA GOPALAKRISHNA REDDY,M IND 4989,1.36%
6 . DHULIPALLA BAPAIAH,M IND 2856,0.78%
ELECTORS : 631608 VOTERS  : 374093,POLL PERCENTAGE  : 59.23%  VALID VOTES ,: 365920
Constituency  : 18 . KAVALI,"",""
1 . PULI VENKATA REDDY,M INC 196492,59.80%
rptDetailedResults - 3 of  95,110,""


