ANDHRA P,RADESH,""
Constituency  : 1 . SRIKAKULAM,"",""
1 . RAJGOPALARAO BODDEPALLI,M INC 187125,49.12%
2 . GOUTHU LATCHANNA,M BLD 178391,46.83%
3 . BOMPALLI RAMANNA,M IND 15435,4.05%
ELECTORS : 585062 VOTERS  : 394514 POL,L PERCENTAGE  : 67.43%  VALID VOTES :,380951
Constituency  : 2 . PARVATHIPURAM (ST),"",""
1 . VYRICHORLA KISHORE CHANDRA SURYANA,RAYANA DEO M INC 174454,55.00%
2 . SATYA PRASAD THATRAJ VEERAVARA THOD,ARMAL M BLD 142710,45.00%
ELECTORS : 655999 VOTERS  : 330291 POL,L PERCENTAGE  : 50.35%  VALID VOTES :,317164
Constituency  : 3 . BOBBILI,"",""
1 . PUSAPATI VIJAYRAMA GAJAPATHI RAJU,M INC 171095,51.75%
2 . PEESAPATI PUNDARIKAKSHA CHARI,M BLD 119507,36.15%
3 . PENTA RAMASWAMY,M IND 15911,4.81%
4 . APPARAO GUDIVADA,M IND 9126,2.76%
5 . RAMULU BOTSA,M IND 7386,2.23%
6 . U. L. N. RAJU,M IND 5070,1.53%
7 . APPALANAIDU GOTTAPU,M IND 2497,0.76%
ELECTORS : 635653 VOTERS  : 342868 POL,L PERCENTAGE  : 53.94%  VALID VOTES :,330592
Constituency  : 4 . VISAKHAPATNAM,"",""
1 . DRONAMRAJU SATYANARAYANA,M INC 171657,51.00%
2 . TENNETI VISWANATHAN,M BLD 128828,38.28%
3 . M. V. BHADRAM,M CPI 33564,9.97%
4 . SURENDRANATH KANDALA,M IND 2528,0.75%
ELECTORS : 626272 VOTERS  : 348049 POL,L PERCENTAGE  : 55.57%  VALID VOTES :,336577
Constituency  : 5 . BHADRACHALAM (ST),"",""
1 . RADHA BAI ANANDA RAO,F INC 155198,59.91%
2 . P. VANI RAMANARAO,F BLD 59230,22.86%
3 . SODE RAMAIAH,M CPI 27966,10.80%
4 . SURABOINA SUVARNA KUMAR,M IND 10528,4.06%
5 . KARAM BAAPANNA DORA,M IND 3999,1.54%
6 . TELLAM SUNDARA RAO,M IND 2139,0.83%
ELECTORS : 598925 VOTERS  : 270495 POL,L PERCENTAGE  : 45.16%  VALID VOTES :,259060
Constituency  : 6 . ANAKAPALLI,"",""
1 . APPALANAIDU S. R. A. S.,M INC 199228,54.30%
2 . CHALAPATHI RAO P. V.,M BLD 163292,44.51%
3 . BONU LAKSHMANARAO,M IND 4359,1.19%
ELECTORS : 708066 VOTERS  : 378738 POL,L PERCENTAGE  : 53.49%  VALID VOTES :,366879
Constituency  : 7 . KAKINADA,"",""
1 . SANJEEVIRAO M. S.,M INC 269017,61.89%
2 . VADDI MUTYALARAO,M BLD 145749,33.53%
rptDetailedResults - 1 of  82,118,""


ANDHRA P,RADESH,""
3 . CHINTA SUBBARAO,M IND 11151,2.57%
4 . DADALA RAMANAYYA,M IND 5557,1.28%
5 . CHINTAPALLI APPARAO,M IND 3170,0.73%
ELECTORS : 656501 VOTERS  : 446438 POL,L PERCENTAGE  : 68.00%  VALID VOTES :,434644
Constituency  : 8 . RAJAHMUNDRY,"",""
1 . PATTABHIRAMA RAO S. B. P.,M INC 292323,61.07%
2 . MANTHENA VENKATA SURYA SUBBARAJU,M BLD 175564,36.68%
3 . PADMARAJU VARREY,M IND 6157,1.29%
4 . VEMAVARAPU SAMUEL,M IND 2833,0.59%
5 . DADALA RAMANAYYA,M IND 1761,0.37%
ELECTORS : 707836 VOTERS  : 489814 POL,L PERCENTAGE  : 69.20%  VALID VOTES :,478638
Constituency  : 9 . AMALAPURAM (SC),"",""
1 . KUSUMA KRISHNA MURTY,M INC 271982,64.68%
2 . B. V. RAMANAYYA,M BLD 135993,32.34%
3 . MOHANARAO KANETY,M IND 12534,2.98%
ELECTORS : 639473 VOTERS  : 431758 POL,L PERCENTAGE  : 67.52%  VALID VOTES :,420509
Constituency  : 10 . NARASAPUR,"",""
1 . ALLURI SUBHASH CHANDRA BOSE,M INC 256519,55.65%
2 . UDDARAJU RAMAM,M CPM 142162,30.84%
3 . SATYANARAYANA VANKA,M CPI 42358,9.19%
4 . GANTA ARUNAKUMAR,M RPK 15189,3.29%
5 . VEGESNA BANGARRAJU,M IND 2401,0.52%
6 . VEDANTAM VENKATA SUBBA RAO,M IND 2344,0.51%
ELECTORS : 670999 VOTERS  : 472161 POL,L PERCENTAGE  : 70.37%  VALID VOTES :,460973
Constituency  : 11 . ELURU,"",""
1 . KOMMAREDDY SURYANARAYANA,M INC 290410,63.62%
2 . KRISHNA MURTHY GARAPATI,M BLD 156377,34.25%
3 . TAMMINAIDU RAAJAANI ( SIVUDU NAIDU ),M IND 8217,1.80%
4 . BANDA SURYA NARAYANA,M IND 1507,0.33%
ELECTORS : 669778 VOTERS  : 467438 POL,L PERCENTAGE  : 69.79%  VALID VOTES :,456511
Constituency  : 12 . MACHILIPATNAM,"",""
1 . ANKINEEDU MAGANTI,M INC 262551,57.48%
2 . VADDE SOBHANADRESWARA RAO,M BLD 185622,40.64%
3 . KAKARLA BABU RAO,M IND 8615,1.89%
ELECTORS : 642258 VOTERS  : 465844 POL,L PERCENTAGE  : 72.53%  VALID VOTES :,456788
Constituency  : 13 . VIJAYAWADA,"",""
1 . GODEY MURAHARI,M INC 239733,52.78%
2 . GOTTIPATI MURALI MOHAN,M BLD 119696,26.35%
3 . DESARI NAGABHUSHANA RAO,M CPI 52786,11.62%
4 . NANDURI PRASADA RAO,M CPM 37583,8.28%
5 . KROVVIDY SURYAPRAKASARAO,M IND 3394,0.75%
