ANDHRA PRADESH,"","","","",""
6 . S.V.B.REDDY,M 57,GEN IND,1732,0,1732
"",TOTAL:,"",894854,2092,896946


ANDHRA PRADESH,"","","","",""
Constituency  : 12 . MACHILIPATNAM,"","","","",""
2 . BADIGA RAMAKRISHNA,M 61,GEN INC,384956,2171,387127
1 . AMBATI BRAHMANAIAH,M 64,GEN TDP,336064,722,336786
6 . YENDURI SUBRAHMANYESWARA RAO (MANI),M 46,GEN IND,18476,1,18477
3 . ADAPALA SIVANNARAYANA,M 32,GEN PPOI,6196,5,6201
5 . DODDA KAMESWARA RAO,M 49,GEN IND,4295,2,4297
4 . B.S.RAO,M 42,GEN TRS,2426,0,2426
"",TOTAL:,"",752413,2901,755314
Constituency  : 13 . VIJAYAWADA,"","","","",""
3 . RAJAGOPAL LAGADAPATI,M 40,GEN INC,518396,1228,519624
1 . ASWINI DUTT CHALASANI,M 53,GEN TDP,404490,547,405037
2 . NANDETI PRABHAKAR RAO,M 51,SC BSP,6468,4,6472
4 . KONERU VARA LAKSHMI,F 51,GEN PPOI,5102,3,5105
13 . SOMESWARA RAO MADALA,M 41,GEN IND,3039,0,3039
12 . SYED MOINUDDIN,M 60,GEN IND,1442,1,1443
5 . RAMACHANDRA RAO. J,M 36,GEN TRS,1268,0,1268
11 . DOMAKONDA RAVI KUMAR,M 36,SC IND,1005,0,1005
9 . JAKKA TARAKA MALLIKARJUNA RAO,M 37,GEN IND,637,0,637
6 . APPARAO DAMALAPATI,M 60,GEN IND,549,0,549
7 . GATLA VENKATA NARAYANA REDDY,M 41,GEN IND,493,0,493
10 . DONEPUDI SRINIVAS,M 41,GEN IND,482,0,482
8 . GOTTUMUKKALA SIVA PRASADARAJU,M 42,GEN IND,396,0,396
"",TOTAL:,"",943767,1783,945550
Constituency  : 14 . TENALI,"","","","",""
3 . BALASHOWRY VALLABHANENI,M 36,GEN INC,365212,1631,366843
1 . UMMAREDDY VENKATESWARLU,M 67,GEN TDP,287775,512,288287
2 . DILIP RAAJA DONEPUDI,M 44,SC BSP,5692,2,5694
7 . VENKATESWARLU PALLA,M 62,GEN IND,5679,0,5679
4 . NARASIMHA REDDY TERA,M 42,GEN TRS,4183,0,4183
5 . DUGGIRALA RAJA  RAMKUMAR,M 53,GEN IND,1622,1,1623
6 . MANDALI SUBRAHMANYAM,M 75,GEN IND,1153,0,1153
"",TOTAL:,"",671316,2146,673462
Constituency  : 15 . GUNTUR,"","","","",""
2 . RAYAPATI  SAMBASIVA RAO,M 60,GEN INC,465276,945,466221
3 . Y. V. RAO,M 71,GEN TDP,336023,406,336429
1 . JUPALLI HANUMANTHA RAO GOUD,M 39,GEN BSP,9373,2,9375
4 . VENKATESWARLU GUNDI,M 38,GEN TRS,5444,0,5444
5 . MUVVA VENKAT RAO,M 72,GEN IND,4008,1,4009
"",TOTAL:,"",820124,1354,821478


ANDHRA PRADESH,"","","","",""
Constituency  : 16 . BAPATLA,"","","","",""
1 . DAGGUBATI PURANDARESWARI,F 44,GEN INC,409731,1368,411099
2 . DAGGUBATI RAMANAIDU,M 67,GEN TDP,316602,415,317017
3 . CHELLAMALLA VENKATA REDDY,M 28,GEN TRS,3753,0,3753
5 . PRATHIPATI SRINIVASU,M 40,GEN IND,2159,0,2159
4 . INAGANTI APPARAO,M 48,GEN IND,1432,2,1434
"",TOTAL:,"",733677,1785,735462
Constituency  : 17 . NARASARAOPET,"","","","",""
2 . MEKAPATI RAJAMOHAN REDDY,M 59,GEN INC,480034,1276,481310
1 . MADDI LAKSHMAIAH,M 74,GEN TDP,394439,616,395055
3 . PULIMAMIDI NARSIMHA REDDY,M 42,GEN TRS,9621,1,9622
4 . GONTU VENKATESWARA REDDY,M 59,GEN IND,8277,1,8278
5 . PULIMI VENKATARAMI REDDY,M 42,GEN IND,5518,1,5519
"",TOTAL:,"",897889,1895,899784
Constituency  : 18 . ONGOLE,"","","","",""
2 . SREENIVASULU REDDY MAGUNTA,M 49,GEN INC,444257,2327,446584
1 . BATHULA VIJAYA BHARATHI,F 47,GEN TDP,339326,1237,340563
3 . ALLA RAMA CHANDRA REDDY,M 57,GEN IND,4741,0,4741
9 . SATISH KUMAR,M 33,GEN IND,2463,0,2463
7 . RAMA RAO DAGGUPATI,M 32,GEN IND,1041,0,1041
5 . NALAMALAPU LAKSHMI NARASA REDDY,M 35,GEN IND,986,0,986
8 . VENU BABU NAIDU KAVURI,M 27,GEN IND,982,0,982
4 . GUDIPUDI NARASIMHA RAO,M 42,GEN IND,896,0,896
6 . BOYALLA RANGANAYAKULU,M 47,GEN IND,853,0,853
"",TOTAL:,"",795545,3564,799109
Constituency  : 19 . NELLORE (SC),"","","","",""
1 . PANABAKA LAKSHMI,F 46,SC INC,448295,1834,450129
2 . BALAKONDAIAH KARUPOTALA,M 65,SC BJP,321078,827,321905
5 . MALAKONDAIAH.Y,M 62,SC SP,36084,1,36085
3 . MARLAPATI  VEMAIAH,M 37,SC BSP,9393,2,9395
9 . VENKATA RAM RAVINUTHALA,M 53,SC IND,5981,2,5983
7 . DAVA PENCHALA RAO,M 43,SC IND,3875,9,3884
4 . MANGALAPURI VENKATESWARLU,M 54,SC BRPP,3419,2,3421
6 . OURUVURU KRISHNAIAH,M 40,SC IND,3415,0,3415
8 . MADDELA BRAHMANAIDU,M 32,SC IND,2285,0,2285
"",TOTAL:,"",833825,2677,836502
Constituency  : 20 . TIRUPATHI (SC),"","","","",""
1 . CHINTA MOHAN,M 49,SC INC,509966,995,510961
2 . DR. N. VENKATA SWAMY,M 73,SC BJP,310841,792,311633
3 . K. ESWAR RAO,M 27,SC TRS,16508,0,16508
4 . KATTAMANCHI PRABHAKAR,M 35,SC IND,11680,5,11685
"",TOTAL:,"",848995,1792,850787


ANDHRA PRADESH,"","","","",""
Constituency  : 21 . CHITTOOR,"","","","",""
1 . D.K. AUDIKESAVULU,M 63,GEN TDP,453486,642,454128
2 . DR. RAVURI VENKATA SWAMY,M 63,GEN INC,391085,905,391990
6 . S.SAHADEVA REDDY,M 31,GEN IND,10430,1,10431
3 . A.MALLA RAO,M 42,GEN TRS,10257,1,10258
4 . D.A NAGARAJU,M 46,GEN IND,5527,5,5532
5 . SHAIK JEELANI BASHA,M 50,GEN IND,3653,0,3653
"",TOTAL:,"",874438,1554,875992
Constituency  : 22 . RAJAMPET,"","","","",""
1 . ANNAYYAGARI SAI PRATHAP,M 59,GEN INC,368290,1507,369797
2 . GUNIPATI RAMAIAH,M 42,GEN TDP,290781,931,291712
5 . HAJI MD. AZAM SHAIK,M 76,GEN IND,11916,3,11919
3 . ASHOKA RAO PEECHARA,M 47,GEN TRS,11247,0,11247
4 . MUKKA NARASIMHA REDDY,M 43,GEN JP,6653,1,6654
"",TOTAL:,"",688887,2442,691329
Constituency  : 23 . CUDDAPAH,"","","","",""
1 . Y.S. VIVEKANANDA REDDY,M 51,GEN INC,458111,3320,461431
2 . VENKATA MYSURA REDDY MULE,M 55,GEN TDP,327930,1827,329757
14 . T BHASKAR REDDY,M 39,GEN IND,10250,0,10250
3 . INDI REDDY THIMMA REDDY,M 38,GEN RJD,5240,2,5242
15 . VITTA SUBBA RAO,M 64,GEN IND,3931,1,3932
4 . KONDABOINA SREENIVASULU K,M 34,GEN PPOI,1757,2,1759
13 . C.BALAVARADA REDDY,M 39,GEN IND,1115,0,1115
5 . B.NARAYANA REDDY,M 42,GEN RPI,902,1,903
7 . PUTHA RAMAPRASADA REDDY,M 35,GEN ANC,825,0,825
