Year,State,Constituency,Category,Total Electors,Total Voters,Poll Percentage,Total General Votes Secured,Total Postal Votes Secured,Total Votes Secured,Total General Valid Votes,Total Postal Valid Votes,Total Valid Votes,% of votes secured out of total electors,% of votes secured out of total votes polled
2014,Andhra Pradesh, Adilabad,ST,1386282,,, 1037720 , 8119 , 1045839 ,,,, 75.45, 99.08
2014,Andhra Pradesh, Peddapalle,SC,1425355,,, 1018788 , 3396 , 1022184 ,,,, 71.72, 99.71
2014,Andhra Pradesh, Karimnagar,GEN,1550810,,, 1119641 , 5543 , 1125184 ,,,, 72.56, 99.82
2014,Andhra Pradesh, Nizamabad,GEN,1496193,,, 1026505 , 7419 , 1033924 ,,,, 69.11, 99.99
2014,Andhra Pradesh, Zahirabad,GEN,1445354,,, 1090266 , 4540 , 1094806 ,,,, 75.75, 99.55
2014,Andhra Pradesh, Medak,GEN,1536166,,, 1188084 , 2927 , 1191011 ,,,, 77.54, 99.79
2014,Andhra Pradesh, Malkajgiri,GEN,3183083,,, 1615846 , 4598 , 1620444 ,,,, 50.91, 99.73
2014,Andhra Pradesh, Secundrabad,GEN,1893741,,, 1002988 , 781 , 1003769 ,,,, 53.01, 99.90
2014,Andhra Pradesh, Hyderabad,GEN,1823217,,, 971226 , 195 , 971421 ,,,, 53.29, 99.96
2014,Andhra Pradesh, CHELVELLA,GEN,2185164,,, 1309409 , 6453 , 1315862 ,,,, 60.22, 99.51
2014,Andhra Pradesh, Mahbubnagar,SC,1418668,,, 1008712 , 6088 , 1014800 ,,,, 71.54, 99.93
2014,Andhra Pradesh, Nagarkurnool,SC,1477305,,, 1104967 , 4001 , 1108968 ,,,, 75.07, 99.36
2014,Andhra Pradesh, Nalgonda,GEN,1494343,,, 1180687 , 8712 , 1189399 ,,,, 79.60, 99.81
2014,Andhra Pradesh, Bhongir,GEN,1492240,,, 1208493 , 3239 , 1211732 ,,,, 81.21, 99.92
2014,Andhra Pradesh, Warangal,SC,1537778,,, 1170723 , 3908 , 1174631 ,,,, 76.39, 99.83
2014,Andhra Pradesh, Mahabubabad,ST,1387288,,, 1120271 , 4101 , 1124372 ,,,, 81.05, 99.80
2014,Andhra Pradesh, Khammam,GEN,1440267,,, 1176749 , 7100 , 1183849 ,,,, 82.20, 99.58
2014,Andhra Pradesh, Aruku,ST,1272340,,, 904075 , 5539 , 909614 ,,,, 71.50, 99.54
2014,Andhra Pradesh, Srikakulam,GEN,1413726,,, 1044876 , 7239 , 1052115 ,,,, 74.43, 99.76
2014,Andhra Pradesh, Vizianagaram,GEN,1403736,,, 1115590 , 4726 , 1120316 ,,,, 79.82, 99.53
2014,Andhra Pradesh, Visakhapatnam,GEN,1723011,,, 1160178 , 3380 , 1163558 ,,,, 67.54, 100.00
2014,Andhra Pradesh, Anakapalli,GEN,1401474,,, 1144120 , 3952 , 1148072 ,,,, 81.92, 99.89
2014,Andhra Pradesh, Kakinada,GEN,1418290,,, 1093933 , 6066 , 1099999 ,,,, 77.57, 99.84
2014,Andhra Pradesh, Amalapuram,SC,1357865,,, 1113914 , 7013 , 1120927 ,,,, 82.55, 99.91
2014,Andhra Pradesh, Rajahmundry,GEN,1421276,,, 1148963 , 5418 , 1154381 ,,,, 81.23, 99.81
2014,Andhra Pradesh, Narsapuram,GEN,1325028,,, 1083177 , 5770 , 1088947 ,,,, 82.19, 99.99
2014,Andhra Pradesh, Eluru,SC,1427764,,, 1194720 , 6977 , 1201697 ,,,, 84.17, 99.87
2014,Andhra Pradesh, Machilipatnam,GEN,1369311,,, 1133270 , 7795 , 1141065 ,,,, 83.34, 99.83
2014,Andhra Pradesh, Vijayawada,GEN,1564513,,, 1188379 , 7386 , 1195765 ,,,, 76.44, 99.73
2014,Andhra Pradesh, Guntur,GEN,1572017,,, 1237579 , 7347 , 1244926 ,,,, 79.20, 99.85
2014,Andhra Pradesh, Narasaraopet,GEN,1514861,,, 1276157 , 5901 , 1282058 ,,,, 84.64, 99.94
2014,Andhra Pradesh, Bapatla,SC,1392964,,, 1177932 , 6702 , 1184634 ,,,, 85.05, 99.86
2014,Andhra Pradesh, Ongole,GEN,1470212,,, 1197855 ,10370 , 1208225 ,,,, 82.19, 99.94
2014,Andhra Pradesh, Nandyal,SC,1576945,,, 1200607 , 4349 , 1204956 ,,,, 76.42, 99.61
2014,Andhra Pradesh, Kurnool,GEN,1481791,,, 1062680 , 3052 , 1065732 ,,,, 71.93, 99.78
2014,Andhra Pradesh, Anantapur,GEN,1536894,,, 1205849 , 6296 , 1212145 ,,,, 78.88, 100.00
2014,Andhra Pradesh, Hindupur,GEN,1446496,,, 1170783 , 6474 , 1177257 ,,,, 81.39, 99.83
2014,Andhra Pradesh, Kadapa,GEN,1550440,,, 1189392 ,11270 , 1200662 ,,,, 77.45, 99.96
2014,Andhra Pradesh, Nellore,GEN,1606127,,, 1179968 , 7680 , 1187648 ,,,, 73.95, 99.90
2014,Andhra Pradesh, Tirupati,SC,1574161,,, 1207418 , 5644 , 1213062 ,,,, 77.07, 99.89
2014,Andhra Pradesh, Rajampet,GEN,1487791,,, 1153835 , 4482 , 1158317 ,,,, 77.86, 99.75
2014,Andhra Pradesh, Chittoor,SC,1451851,,, 1192153 , 6762 , 1198915 ,,,, 82.59, 99.98
2014,Arunachal Pradesh, ARUNACHAL WEST,ST,446640,,, 325796 , 9869 , 335665 ,,,, 75.15, 99.41
2014,Arunachal Pradesh, ARUNACHAL EAST,ST,312704,,, 254968 , 6323 , 261291 ,,,, 83.56, 99.29
2014,Assam, Karimganj,SC,1165997,,, 885704 , 1216 , 886920 ,,,, 76.07, 99.90
2014,Assam, Silchar,GEN,1060175,,, 799746 , 84 , 799830 ,,,, 75.45, 99.97
2014,Assam, Autonomous District,ST,702230,,, 542962 , 318 , 543280 ,,,, 77.36, 99.92
2014,Assam, Dhubri,GEN,1550166,,, 1369123 , 501 , 1369624 ,,,, 88.35, 99.99
2014,Assam, Kokrajhar,ST,1505472,,, 1223214 , 655 , 1223869 ,,,, 81.30, 99.97
2014,Assam, Barpeta,GEN,1430188,,, 1205352 , 511 , 1205863 ,,,, 84.31, 99.90
2014,Assam, Gauhati,SC,1922270,,, 1511616 , 113 , 1511729 ,,,, 78.64, 99.97
2014,Assam, Mangaldoi,GEN,1515676,,, 1233049 , 188 , 1233237 ,,,, 81.37, 99.98
2014,Assam, Tezpur,GEN,1259568,,, 980524 , 164 , 980688 ,,,, 77.86, 99.98
2014,Assam, Nowgong,ST,1523881,,, 1229709 , 365 , 1230074 ,,,, 80.72, 99.97
2014,Assam, Kaliabor,GEN,1457219,,, 1165909 , 581 , 1166490 ,,,, 80.05, 99.92
2014,Assam, Jorhat,GEN,1189486,,, 930872 , 464 , 931336 ,,,, 78.30, 99.98
2014,Assam, Dibrugarh,GEN,1124305,,, 890824 , 144 , 890968 ,,,, 79.25, 99.98
2014,Assam, Lakhimpur,GEN,1431080,,, 1111402 , 573 , 1111975 ,,,, 77.70, 99.94
2014,Bihar, Valmiki Nagar,SC,1456598,,, 899838 , 289 , 900127 ,,,, 61.80, 100.00
2014,Bihar, Paschim Champaran,GEN,1413148,,, 854641 , 159 , 854800 ,,,, 60.49, 100.00
2014,Bihar, Purvi Champaran,GEN,1439253,,, 822648 , 23 , 822671 ,,,, 57.16, 100.00
2014,Bihar, Sheohar,GEN,1485801,,, 842663 , 231 , 842894 ,,,, 56.73, 100.00
2014,Bihar, Sitamarhi,GEN,1574914,,, 900477 , 111 , 900588 ,,,, 57.18, 100.00
2014,Bihar, Madhubani,GEN,1627832,,, 860348 , 105 , 860453 ,,,, 52.86, 100.00
2014,Bihar, Jhanjharpur,GEN,1668405,,, 941139 , 110 , 941249 ,,,, 56.42, 100.00
2014,Bihar, Supaul,GEN,1525583,,, 970520 , 8 , 970528 ,,,, 63.62, 100.00
2014,Bihar, Araria,GEN,1587332,,, 975804 , 7 , 975811 ,,,, 61.48, 100.00
2014,Bihar, Kishanganj,GEN,1438990,,, 928222 , 268 , 928490 ,,,, 64.52, 100.00
2014,Bihar, Katihar,GEN,1446478,,, 977534 , 296 , 977830 ,,,, 67.60, 100.00
2014,Bihar, Purnia,GEN,1582626,,, 1017368 , 364 , 1017732 ,,,, 64.31, 100.00
2014,Bihar, Madhepura,GEN,1725693,,, 1034651 , 148 , 1034799 ,,,, 59.97, 100.00
2014,Bihar, Darbhanga,GEN,1495445,,, 828325 , 17 , 828342 ,,,, 55.39, 99.89
2014,Bihar, Muzaffarpur,GEN,1551363,,, 948865 , 22 , 948887 ,,,, 61.17, 100.00
2014,Bihar, Vaishali,GEN,1566321,,, 925926 , 11 , 925937 ,,,, 59.12, 100.00
2014,Bihar, Gopalganj SC,SC,1654838,,, 903561 , 22 , 903583 ,,,, 54.60, 100.00
2014,Bihar, Siwan,GEN,1563860,,, 884005 , 16 , 884021 ,,,, 56.53, 100.00
2014,Bihar, Maharajganj,GEN,1642068,,, 846327 , 327 , 846654 ,,,, 51.56, 99.98
2014,Bihar, Saran,GEN,1538740,,, 862465 , 789 , 863254 ,,,, 56.10, 99.96
2014,Bihar, Hajipur SC,SC,1649547,,, 903480 , 1226 , 904706 ,,,, 54.85, 99.89
2014,Bihar, Ujiarpur,GEN,1426217,,, 858905 , 15 , 858920 ,,,, 60.22, 100.00
2014,Bihar, Samastipur SC,SC,1504451,,, 863183 , 16 , 863199 ,,,, 57.38, 100.00
2014,Bihar, Begusarai,GEN,1778759,,, 1077365 , 490 , 1077855 ,,,, 60.60, 99.97
2014,Bihar, Khagaria,GEN,1506587,,, 896101 , 130 , 896231 ,,,, 59.49, 99.99
2014,Bihar, Bhagalpur,GEN,1685339,,, 973953 , 63 , 974016 ,,,, 57.80, 99.98
2014,Bihar, Banka,GEN,1549456,,, 899318 , 35 , 899353 ,,,, 58.04, 100.00
2014,Bihar, Munger,GEN,1719984,,, 914268 , 82 , 914350 ,,,, 53.16, 99.99
2014,Bihar, Nalanda,GEN,1951967,,, 921648 , 113 , 921761 ,,,, 47.22, 99.99
2014,Bihar, Patna Sahib,GEN,1946249,,, 879834 , 2428 , 882262 ,,,, 45.33, 99.94
2014,Bihar, Pataliputra,GEN,1736074,,, 976815 , 1834 , 978649 ,,,, 56.37, 99.99
2014,Bihar, Arrah,GEN,1824515,,, 893054 , 159 , 893213 ,,,, 48.96, 99.98
2014,Bihar, Buxar,GEN,1640671,,, 888132 , 72 , 888204 ,,,, 54.14, 99.89
2014,Bihar, Sasaram SC,SC,1607747,,, 845688 , 1100 , 846788 ,,,, 52.67, 99.90
2014,Bihar, Karakat,GEN,1580558,,, 789800 , 127 , 789927 ,,,, 50.00, 99.95
2014,Bihar, Jahanabad,GEN,1423246,,, 811003 , 513 , 811516 ,,,, 57.02, 99.96
2014,Bihar, Aurangabad,GEN,1536153,,, 785663 , 611 , 786274 ,,,, 51.19, 99.99
2014,Bihar, Gaya SC,SC,1501521,,, 806922 , 2456 , 809378 ,,,, 53.90, 99.97
2014,Bihar, Nawada,GEN,1694895,,, 884383 , 58 , 884441 ,,,, 52.18, 100.00
2014,Bihar, Jamui SC,SC,1550936,,, 775597 , 42 , 775639 ,,,, 50.01, 100.00
2014,Goa, North Goa,GEN,515441,,, 405190 , 1441 , 406631 ,,,, 78.89, 99.92
2014,Goa, South Goa,GEN,545336,,, 409457 , 912 , 410369 ,,,, 75.25, 99.97
2014,Gujarat, Kachchh,SC,1533782,,, 942183 , 4057 , 946240 ,,,, 61.69, 99.86
2014,Gujarat, Banaskantha,GEN,1515711,,, 883216 , 3418 , 886634 ,,,, 58.50, 99.92
2014,Gujarat, Patan,SC,1628641,,, 949679 , 6120 , 955799 ,,,, 58.69, 99.91
2014,Gujarat, Mahesana,GEN,1498219,,, 997735 , 6523 , 1004258 ,,,, 67.03, 100.00
2014,Gujarat, Sabarkantha,SC,1615840,,, 1085970 , 8032 , 1094002 ,,,, 67.70, 99.83
2014,Gujarat, Gandhinagar,GEN,1733972,,, 1128656 , 6839 , 1135495 ,,,, 65.49, 99.87
2014,Gujarat, Ahmedabad East,GEN,1601832,,, 980265 , 5260 , 985525 ,,,, 61.53, 99.90
2014,Gujarat, Ahmedabad West,SC,1534400,,, 960475 , 4134 , 964609 ,,,, 62.87, 99.90
2014,Gujarat, Surendranagar,GEN,1656657,,, 938575 , 6102 , 944677 ,,,, 57.02, 99.92
2014,Gujarat, Rajkot,GEN,1655717,,, 1052595 , 4474 , 1057069 ,,,, 63.84, 99.93
2014,Gujarat, Porbandar,GEN,1539223,,, 804415 , 5018 , 809433 ,,,, 52.59, 99.93
2014,Gujarat, Jamnagar,GEN,1470952,,, 849055 , 3588 , 852643 ,,,, 57.97, 99.96
2014,Gujarat, Junagadh,GEN,1485543,,, 937481 , 3897 , 941378 ,,,, 63.37, 99.91
2014,Gujarat, Amreli,GEN,1486286,,, 805505 , 3311 , 808816 ,,,, 54.42, 99.90
2014,Gujarat, Bhavnagar,GEN,1594531,,, 912992 , 4410 , 917402 ,,,, 57.54, 99.92
2014,Gujarat, Anand,GEN,1496859,,, 967179 , 3715 , 970894 ,,,, 64.86, 99.96
2014,Gujarat, Kheda,GEN,1599476,,, 951323 , 4583 , 955906 ,,,, 59.76, 99.84
2014,Gujarat, Panchmahal,GEN,1576667,,, 926990 , 6471 , 933461 ,,,, 59.20, 99.83
2014,Gujarat, Dahod,ST,1411765,,, 895311 , 5070 , 900381 ,,,, 63.78, 99.88
2014,Gujarat, Vadodara,GEN,1638321,,, 1155656 , 5921 , 1161577 ,,,, 70.90, 99.95
2014,Gujarat, Chhota Udaipur,ST,1536305,,, 1094542 , 6000 , 1100542 ,,,, 71.64, 99.90
2014,Gujarat, Bharuch,GEN,1417548,,, 1056319 , 3892 , 1060211 ,,,, 74.79, 99.92
2014,Gujarat, Bardoli,ST,1614106,,, 1201712 , 4467 , 1206179 ,,,, 74.73, 99.72
2014,Gujarat, Surat,GEN,1484068,,, 946507 , 1415 , 947922 ,,,, 63.87, 99.95
2014,Gujarat, Navsari,SC,1764622,,, 1157014 , 3733 , 1160747 ,,,, 65.78, 99.94
2014,Gujarat, Valsad,ST,1512061,,, 1118784 , 3419 , 1122203 ,,,, 74.22, 99.91
2014,Haryana, Ambala,SC,1692424,,, 1218723 , 272 , 1218995 ,,,, 72.03, 99.91
2014,Haryana, Kurukshetra,GEN,1498459,,, 1135651 , 241 , 1135892 ,,,, 75.80, 99.98
2014,Haryana, Sirsa,SC,1660557,,, 1278863 , 242 , 1279105 ,,,, 77.03, 99.99
2014,Haryana, Hisar,GEN,1517606,,, 1155169 , 745 , 1155914 ,,,, 76.17, 99.92
2014,Haryana, Karnal,GEN,1684321,,, 1193358 , 142 , 1193500 ,,,, 70.86, 99.98
2014,Haryana, Sonipat,GEN,1417188,,, 985196 , 442 , 985638 ,,,, 69.55, 99.91
2014,Haryana, Rohtak,GEN,1567508,,, 1043651 , 680 , 1044331 ,,,, 66.62, 99.87
2014,Haryana, Bhiwani Mahendragarh,GEN,1473912,,, 1029717 , 714 , 1030431 ,,,, 69.91, 99.91
2014,Haryana, Gurgaon,GEN,1844906,,, 1320287 , 333 , 1320620 ,,,, 71.58, 100.00
2014,Haryana, Faridabad,GEN,1740352,,, 1130671 , 54 , 1130725 ,,,, 64.97, 99.98
2014,Himachal Pradesh, Kangra,GEN,1258601,,, 797989 , 1456 , 799445 ,,,, 63.52, 99.94
2014,Himachal Pradesh, Mandi,GEN,1150408,,, 725070 , 1024 , 726094 ,,,, 63.12, 99.95
2014,Himachal Pradesh, Hamirpur,GEN,1247699,,, 833087 , 2118 , 835205 ,,,, 66.94, 99.94
2014,Himachal Pradesh, Shimla,SC,1153363,,, 736777 , 979 , 737756 ,,,, 63.97, 99.96
2014,Jammu & Kashmir, Baramulla,GEN,1190766,,, 465979 , 13 , 465992 ,,,, 39.13, 99.99
2014,Jammu & Kashmir, Srinagar,GEN,1207230,,, 312208 , 4 , 312212 ,,,, 25.86, 99.99
2014,Jammu & Kashmir, Anantnag,GEN,1301143,,, 375238 , 41 , 375279 ,,,, 28.84, 100.00
2014,Jammu & Kashmir, Ladakh,ST,166763,,, 117164 , 865 , 118029 ,,,, 70.78, 99.13
2014,Jammu & Kashmir, Udhampur,GEN,1469072,,, 1041130 , 628 , 1041758 ,,,, 70.91, 99.94
2014,Jammu & Kashmir, Jammu,SC,1848155,,, 1251529 , 2064 , 1253593 ,,,, 67.83, 99.77
2014,Karnataka, Chikkodi,GEN,1442206,,, 1070668 , 435 , 1071103 ,,,, 74.27, 99.96
2014,Karnataka, Belgaum,GEN,1580895,,, 1077716 , 812 , 1078528 ,,,, 68.23, 99.96
2014,Karnataka, Bagalkot,GEN,1568633,,, 1078805 , 505 , 1079310 ,,,, 68.81, 100.00
2014,Karnataka, Bijapur,SC,1622635,,, 966734 , 23 , 966757 ,,,, 59.59, 100.00
2014,Karnataka, Gulbarga,SC,1721990,,, 997125 , 513 , 997638 ,,,, 57.94, 99.96
2014,Karnataka, Raichur,ST,1661606,,, 968513 , 376 , 968889 ,,,, 58.32, 99.98
2014,Karnataka, Bidar,GEN,1600962,,, 959045 , 339 , 959384 ,,,, 59.93, 99.60
2014,Karnataka, Koppal,GEN,1535105,,, 1006210 , 298 , 1006508 ,,,, 65.57, 99.91
2014,Karnataka, Bellary,ST,1487945,,, 1045448 , 324 , 1045772 ,,,, 70.29, 99.99
2014,Karnataka, Haveri,GEN,1558749,,, 1115458 , 510 , 1115968 ,,,, 71.60, 99.96
2014,Karnataka, Dharwad,SC,1578125,,, 1040430 , 796 , 1041226 ,,,, 65.98, 99.98
2014,Karnataka, Uttara Kannada,GEN,1450599,,, 1000437 , 601 , 1001038 ,,,, 69.01, 99.96
2014,Karnataka, Davanagere,SC,1522712,,, 1114494 , 374 , 1114868 ,,,, 73.22, 99.98
2014,Karnataka, Shimoga,GEN,1562243,,, 1128267 , 741 , 1129008 ,,,, 72.27, 99.88
2014,Karnataka, Udupi Chikmagalur,GEN,1387294,,, 1033051 , 1057 , 1034108 ,,,, 74.54, 99.98
2014,Karnataka, Hassan,GEN,1561486,,, 1146508 , 664 , 1147172 ,,,, 73.47, 99.97
2014,Karnataka, Dakshina Kannada,GEN,1565219,,, 1207120 , 354 , 1207474 ,,,, 77.14, 99.99
2014,Karnataka, Chitradurga,SC,1661277,,, 1096037 , 462 , 1096499 ,,,, 66.01, 99.89
2014,Karnataka, Tumkur,GEN,1518518,,, 1100735 , 749 , 1101484 ,,,, 72.54, 99.95
2014,Karnataka, Mandya,SC,1669262,,, 1191805 , 833 , 1192638 ,,,, 71.45, 99.97
2014,Karnataka, Mysore,GEN,1723134,,, 1157346 , 2248 , 1159594 ,,,, 67.30, 100.00
2014,Karnataka, Chamarajanagar,SC,1555781,,, 1132497 , 532 , 1133029 ,,,, 72.83, 99.97
2014,Karnataka, Bangalore Rural,SC,2190398,,, 1455003 , 241 , 1455244 ,,,, 66.45, 99.97
2014,Karnataka, Bangalore North,GEN,2401472,,, 1355485 , 1233 , 1356718 ,,,, 56.50, 99.94
2014,Karnataka, Bangalore central,GEN,1931456,,, 1073957 , 632 , 1074589 ,,,, 55.64, 100.00
2014,Karnataka, Bangalore South,GEN,1998724,,, 1112914 , 812 , 1113726 ,,,, 55.73, 99.94
2014,Karnataka, Chikkballapur,GEN,1658410,,, 1261451 , 1823 , 1263274 ,,,, 76.18, 99.95
2014,Karnataka, Kolar,SC,1492977,,, 1125973 , 1342 , 1127315 ,,,, 75.51, 100.00
2014,Kerala, Kasaragod,GEN,1243730,,, 972791 , 1424 , 974215 ,,,, 78.39, 99.90
2014,Kerala, Kannur,GEN,1170266,,, 944739 , 2378 , 947117 ,,,, 81.05, 99.85
2014,Kerala, Vadakara,GEN,1182504,,, 957045 , 2297 , 959342 ,,,, 81.37, 99.90
2014,Kerala, Wayanad,GEN,1249420,,, 914226 , 780 , 915006 ,,,, 73.25, 99.99
2014,Kerala, Kozhikode,GEN,1182484,,, 940327 , 2682 , 943009 ,,,, 79.79, 99.98
2014,Kerala, Malappuram,GEN,1198444,,, 852936 , 531 , 853467 ,,,, 71.26, 100.00
2014,Kerala, Ponnani,GEN,1180789,,, 871319 , 273 , 871592 ,,,, 73.92, 100.00
2014,Kerala, Palakkad,GEN,1208726,,, 909416 , 906 , 910322 ,,,, 75.32, 99.98
2014,Kerala, Alathur,SC,1216351,,, 926150 , 1078 , 927228 ,,,, 76.24, 99.85
2014,Kerala, Thrissur,GEN,1275288,,, 919557 , 948 , 920505 ,,,, 72.20, 99.98
2014,Kerala, Chalakudy,GEN,1150497,,, 883171 , 862 , 884033 ,,,, 76.86, 99.89
2014,Kerala, Ernakulam,SC,1156492,,, 849965 , 869 , 850834 ,,,, 73.58, 99.99
2014,Kerala, Idukki,GEN,1158735,,, 818597 , 1169 , 819766 ,,,, 70.75, 99.94
2014,Kerala, Kottayam,GEN,1161465,,, 830184 , 1452 , 831636 ,,,, 71.61, 99.91
2014,Kerala, Alappuzha,GEN,1271324,,, 994379 , 3085 , 997464 ,,,, 78.47, 99.88
2014,Kerala, Mavelikkara,SC,1252668,,, 887180 , 1880 , 889060 ,,,, 70.99, 99.98
2014,Kerala, Pathanamthitta,GEN,1323906,,, 868376 , 1076 , 869452 ,,,, 65.70, 99.79
2014,Kerala, Kollam,GEN,1219415,,, 875921 , 3135 , 879056 ,,,, 72.10, 99.98
2014,Kerala, Attingal,GEN,1251398,,, 856507 , 2843 , 859350 ,,,, 68.69, 100.00
2014,Kerala, Thiruvananthapuram,GEN,1272748,,, 870647 , 2794 , 873441 ,,,, 68.63, 100.00
2014,Madhya Pradesh, MORENA,GEN,1702457,,, 854237 , 42 , 854279 ,,,, 50.18, 100.00
2014,Madhya Pradesh, BHIND,SC,1600137,,, 729017 , 67 , 729084 ,,,, 45.56, 99.96
2014,Madhya Pradesh, GWALIOR,GEN,1876965,,, 990230 , 682 , 990912 ,,,, 52.80, 99.98
2014,Madhya Pradesh, GUNA,GEN,1605613,,, 974744 , 1885 , 976629 ,,,, 60.83, 99.90
2014,Madhya Pradesh, SAGAR,GEN,1520322,,, 891772 , 157 , 891929 ,,,, 58.67, 99.99
2014,Madhya Pradesh, TIKAMGARH,SC,1528863,,, 765904 , 417 , 766321 ,,,, 50.12, 99.93
2014,Madhya Pradesh, DAMOH,GEN,1651614,,, 911638 , 442 , 912080 ,,,, 55.22, 99.80
2014,Madhya Pradesh, KHAJURAHO,GEN,1702833,,, 874283 , 194 , 874477 ,,,, 51.35, 99.99
2014,Madhya Pradesh, SATNA,GEN,1458381,,, 913280 , 164 , 913444 ,,,, 62.64, 100.00
2014,Madhya Pradesh, REWA,GEN,1544719,,, 829887 , 115 , 830002 ,,,, 53.73, 99.98
2014,Madhya Pradesh, SIDHI,GEN,1736048,,, 988619 , 777 , 989396 ,,,, 56.99, 99.98
2014,Madhya Pradesh, SHAHDOL,ST,1561016,,, 967686 , 832 , 968518 ,,,, 62.05, 99.94
2014,Madhya Pradesh, JABALPUR,GEN,1711621,,, 1002132 , 52 , 1002184 ,,,, 58.55, 100.00
2014,Madhya Pradesh, MANDLA,ST,1824702,,, 1216914 , 1604 , 1218518 ,,,, 66.78, 99.99
2014,Madhya Pradesh, BALAGHAT,ST,1629741,,, 1111356 , 2008 , 1113364 ,,,, 68.32, 100.00
2014,Madhya Pradesh, CHHINDWARA,GEN,1402038,,, 1107290 , 208 , 1107498 ,,,, 78.99, 99.99
2014,Madhya Pradesh, HOSHANGABAD,GEN,1568206,,, 1029948 , 1227 , 1031175 ,,,, 65.76, 99.94
2014,Madhya Pradesh, VIDISHA,GEN,1634039,,, 1072447 , 1026 , 1073473 ,,,, 65.70, 99.97
2014,Madhya Pradesh, BHOPAL,GEN,1957241,,, 1130069 , 113 , 1130182 ,,,, 57.75, 99.99
2014,Madhya Pradesh, RAJGARH,GEN,1578757,,, 1009952 , 772 , 1010724 ,,,, 64.02, 99.99
2014,Madhya Pradesh, DEWAS,SC,1617111,,, 1142982 , 988 , 1143970 ,,,, 70.74, 99.98
2014,Madhya Pradesh, UJJAIN,SC,1525481,,, 1015857 , 548 , 1016405 ,,,, 66.63, 100.00
2014,Madhya Pradesh, MANDSOUR,SC,1626556,,, 1160374 , 975 , 1161349 ,,,, 71.40, 99.98
2014,Madhya Pradesh, RATLAM,ST,1702576,,, 1080666 , 2024 , 1082690 ,,,, 63.59, 99.96
2014,Madhya Pradesh, DHAR,ST,1668441,,, 1075930 , 886 , 1076816 ,,,, 64.54, 99.98
2014,Madhya Pradesh, INDORE,SC,2115303,,, 1315896 , 921 , 1316817 ,,,, 62.25, 99.98
2014,Madhya Pradesh, KHARGONE,ST,1703272,,, 1151722 , 803 , 1152525 ,,,, 67.67, 99.99
2014,Madhya Pradesh, KHANDWA,GEN,1759417,,, 1255596 , 1731 , 1257327 ,,,, 71.46, 99.97
2014,Madhya Pradesh, BETUL,ST,1607831,,, 1047231 , 488 , 1047719 ,,,, 65.16, 99.99
2014,Maharashtra, Nandurbar,ST,1672943,,, 1114384 , 2292 , 1116676 ,,,, 66.75, 99.97
2014,Maharashtra, Dhule,GEN,1675367,,, 979230 , 3853 , 983083 ,,,, 58.68, 100.00
2014,Maharashtra, Jalgaon,GEN,1707969,,, 989821 , 511 , 990332 ,,,, 57.98, 99.97
2014,Maharashtra, Raver,GEN,1593389,,, 1008681 , 532 , 1009213 ,,,, 63.34, 99.78
2014,Maharashtra, Buldhana,GEN,1595435,,, 978392 , 234 , 978626 ,,,, 61.34, 99.97
2014,Maharashtra, Akola,SC,1672643,,, 977589 , 902 , 978491 ,,,, 58.50, 99.99
2014,Maharashtra, Amravati,SC,1612739,,, 1001063 , 2998 , 1004061 ,,,, 62.26, 99.95
2014,Maharashtra, Wardha,ST,1564552,,, 1012178 , 1267 , 1013445 ,,,, 64.78, 99.98
2014,Maharashtra, Ramtek,SC,1677266,,, 1049278 , 1038 , 1050316 ,,,, 62.62, 99.97
2014,Maharashtra, Nagpur,GEN,1900784,,, 1083604 , 1434 , 1085038 ,,,, 57.08, 99.93
2014,Maharashtra, Bhandara gondiya,GEN,1655852,,, 1196291 , 905 , 1197196 ,,,, 72.30, 99.98
2014,Maharashtra, Gadchiroli Chimur,ST,1468437,,, 1026543 , 586 , 1027129 ,,,, 69.95, 99.87
2014,Maharashtra, Chandrapur,GEN,1753690,,, 1108749 , 994 , 1109743 ,,,, 63.28, 99.99
2014,Maharashtra, Yavatmal Washim,GEN,1755292,,, 1031339 , 1610 , 1032949 ,,,, 58.85, 99.96
2014,Maharashtra, Hingoli,GEN,1586194,,, 1049085 , 2079 , 1051164 ,,,, 66.27, 99.97
2014,Maharashtra, Nanded,GEN,1687057,,, 1010265 , 3085 , 1013350 ,,,, 60.07, 99.93
2014,Maharashtra, Parbhani,GEN,1803792,,, 1161624 , 609 , 1162233 ,,,, 64.43, 99.99
2014,Maharashtra, Jalna,GEN,1612056,,, 1065526 , 733 , 1066259 ,,,, 66.14, 99.99
2014,Maharashtra, Aurangabad,GEN,1589395,,, 982480 , 453 , 982933 ,,,, 61.84, 99.99
2014,Maharashtra, Dindori,ST,1530208,,, 969499 , 683 , 970182 ,,,, 63.40, 99.99
2014,Maharashtra, Nashik,GEN,1593774,,, 935405 , 2000 , 937405 ,,,, 58.82, 99.98
2014,Maharashtra, Palghar,ST,1578149,,, 992280 , 338 , 992618 ,,,, 62.90, 99.98
2014,Maharashtra, Bhiwandi,GEN,1696584,,, 875044 , 561 , 875605 ,,,, 51.61, 99.98
2014,Maharashtra, Kalyan,GEN,1922034,,, 823598 , 598 , 824196 ,,,, 42.88, 99.85
2014,Maharashtra, Thane,GEN,2073251,,, 1053288 , 901 , 1054189 ,,,, 50.85, 99.96
