Year,State,Constituency,State_Code,Constituency_Number,Category,Candidates_Nominated_Men,Candidates_Nominated_Women,Candidates_Nominated_Others,Candidates_Nominated_Total,Nominations_Rejected_Men,Nominations_Rejected_Women,Nominations_Rejected_Others,Nominations_Rejected_Total,Candidates_Withdrawn_Men,Candidates_Withdrawn_Women,Candidates_Withdrawn_Others,Candidates_Withdrawn_Total,Contested_Men,Contested_Women,Contested_Others,Contested_Total,Forfeited_Men,Forfeited_Women,Forfeited_Others,Forfeited_Total,General_Electors_Men,General_Electors_Women,General_Electors_Others,General_Electors_Total,Overseas_Electors_Men,Overseas_Electors_Women,Overseas_Electors_Others,Overseas_Electors_Total,Service_Electors_Men,Service_Electors_Women,Service_Electors_Others,Service_Electors_Total,Total_Electors_Men,Total_Electors_Women,Total_Electors_Others,Total_Electors,General_Voters_Men,General_Voters_Women,General_Voters_Others,General_Voters_Total,Overseas_Voters_Men,Overseas_Voters_Women,Overseas_Electors_Others,Overseas_Voters_Total,Proxy_Voters,Postal_Voters_Men,Postal_Voters_Women,Postal_Voters_Total,Total_Voters_Men,Total_Voters_Women,Total_Voters,Total Votes Polled,Rejected_Votes,Votes Rejected Due To Other Reason,% of Votes Rejected,Rejected_Votes_Postal,Polling_Percentage_Men,Polling_Percentage_Women,Polling_Percentage_Total,Votes Not Retrieved From EVM,TOTAL VOTES POLLED ON EVM,TOTAL DEDUCTED VOTES FROM EVM,TOTAL VALID VOTES POLLED ON EVM,POSTAL VOTES COUNTED,POSTAL VOTES DEDUCTED,VALID POSTAL VOTES,Valid Votes,Total_Valid_Votes_Polled,TEST VOTES POLLED ON EVM,VOTES POLLED FOR NOTA,Missing_Votes,Ballot_Paper_Set_Apart,Tendered_Votes,Polling_Stations,Avg_Per_Polling_Station,Re-Poll_Stations
2009,, Jalpaiguri,S25,3,,11,0,,11,1,0,,1,0,0,,0,10,0,,10,8,0,,8,661916,589033,,1250949,,,,,861,332,,1193,662777,589365,,1252142,553888,475918,,1029806,,,,,0,,,1484,,,1031290,,,,,532,,,82.36,0,,,,,,,,1030758,,,,,44,1560,801,0
2009,, Darjeeling,S25,4,,14,0,,14,1,0,,1,3,0,,3,10,0,,10,7,0,,7,619573,585008,,1204581,,,,,8067,2816,,10883,627640,587824,,1215464,500015,464786,,964801,,,,,0,,,1570,,,966371,,,,,541,,,79.51,0,,,,,,,,965830,,,,,32,1539,782,2
2009,, Raiganj,S25,5,,11,1,,12,0,0,,0,0,0,,0,11,1,,12,10,0,,10,582958,524924,,1107882,,,,,334,166,,500,583292,525090,,1108382,465910,430177,,896087,,,,,0,,,2312,,,898399,,,,,440,,,81.05,0,,,,,,,,897959,,,,,69,1373,806,1
2009,, Balurghat,S25,6,,8,0,,8,0,0,,0,0,0,,0,8,0,,8,6,0,,6,529335,480223,,1009558,,,,,666,0,,666,530001,480223,,1010224,460821,412948,,873769,,,,,0,,,1591,,,875360,,,,,596,,,86.65,0,,,,,,,,874764,,,,,29,1271,794,1
2009,, Maldaha Uttar,S25,7,,5,4,,9,0,0,,0,0,0,,0,5,4,,9,4,3,,7,573310,526835,,1100145,,,,,658,293,,951,573968,527128,,1101096,472036,448106,,920142,,,,,0,,,1389,,,921531,,,,,354,,,83.69,29,,,,,,,,921148,,,,,53,1430,769,0
2009,, Maldaha Dakshin,S25,8,,10,0,,10,0,0,,0,1,0,,1,9,0,,9,7,0,,7,545051,506027,,1051078,,,,,691,324,,1015,545742,506351,,1052093,425273,402285,,827558,,,,,0,,,1924,,,829482,,,,,97,,,78.84,0,,,,,,,,829385,,,,,13,1322,795,0
2009,, Jangipur,S25,9,,7,0,,7,1,0,,1,1,0,,1,5,0,,5,3,0,,3,561034,525018,,1086052,,,,,701,301,,1002,561735,525319,,1087054,480603,452937,,933540,,,,,0,,,741,,,934281,,,,,209,,,85.95,0,,,,,,,,934072,,,,,7,1334,814,2
2009,, Baharampur,S25,10,,8,0,,8,0,0,,0,0,0,,0,8,0,,8,6,0,,6,612218,563533,,1175751,,,,,2909,1278,,4187,615127,564811,,1179938,492070,458548,,950618,,,,,0,,,1595,,,952213,,,,,19,,,80.7,0,,,,,,,,952194,,,,,38,1458,806,0
2009,, Murshidabad,S25,11,,9,2,,11,0,0,,0,0,0,,0,9,2,,11,7,2,,9,621099,570451,,1191550,,,,,903,446,,1349,622002,570897,,1192899,548082,502034,,1050116,,,,,0,,,1267,,,1051383,,,,,408,,,88.14,0,,,,,,,,1050975,,,,,45,1479,805,0
2009,, Krishnanagar,S25,12,,8,2,,10,0,0,,0,1,0,,1,7,2,,9,5,1,,6,641054,578629,,1219683,,,,,2424,975,,3399,643478,579604,,1223082,547191,496816,,1044007,,,,,0,,,1704,,,1045711,,,,,290,,,85.5,0,,,,,,,,1045421,,,,,55,1523,800,0
2009,, Ranaghat,S25,13,,6,0,,6,0,0,,0,0,0,,0,6,0,,6,4,0,,4,694807,631249,,1326056,,,,,2263,1117,,3380,697070,632366,,1329436,595948,549404,,1145352,,,,,0,,,1893,,,1147245,,,,,247,,,86.3,17,,,,,,,,1146981,,,,,17,1648,804,0
2009,, Bangaon,S25,14,,6,1,,7,0,0,,0,0,0,,0,6,1,,7,4,1,,5,648252,594675,,1242927,,,,,2853,1199,,4052,651105,595874,,1246979,591251,486395,,1077646,,,,,0,,,589,,,1078235,,,,,105,,,86.47,0,,,,,,,,1078130,,,,,19,1568,792,1
2009,, Barrackpore,S25,15,,10,0,,10,0,0,,0,0,0,,0,10,0,,10,8,0,,8,591698,487546,,1079244,,,,,1376,617,,1993,593074,488163,,1081237,480909,388025,,868934,,,,,0,,,1034,,,869968,,,,,210,,,80.46,0,,,,,,,,869758,,,,,14,1327,813,0
2009,, Dum dum,S25,16,,6,0,,6,0,0,,0,0,0,,0,6,0,,6,4,0,,4,633718,577476,,1211194,,,,,658,368,,1026,634376,577844,,1212220,522427,452031,,974458,,,,,0,,,1226,,,975684,,,,,141,,,80.49,0,,,,,,,,975543,,,,,0,1498,808,0
2009,, Barasat,S25,17,,7,2,,9,1,0,,1,0,0,,0,6,2,,8,5,1,,6,638728,585885,,1224613,,,,,1347,694,,2041,640075,586579,,1226654,548825,475183,,1024008,,,,,0,,,1531,,,1025539,,,,,210,,,83.6,0,,,,,,,,1025329,,,,,62,1532,801,0
2009,, Basirhat,S25,18,,8,0,,8,0,0,,0,0,0,,0,8,0,,8,6,0,,6,632544,564634,,1197178,,,,,958,443,,1401,633502,565077,,1198579,557835,480031,,1037866,,,,,0,,,343,,,1038209,,,,,32,,,86.62,0,,,,,,,,1038177,,,,,16,1521,787,0
2009,, Joynagar,S25,19,,8,0,,8,0,0,,0,0,0,,0,8,0,,8,6,0,,6,593664,549771,,1143435,,,,,140,65,,205,593804,549836,,1143640,491833,423925,,915758,,,,,0,,,78,,,915836,,,,,113,,,80.08,0,,,,,,,,915723,,,,,35,1425,802,0
2009,, Mathurapur,S25,20,,7,0,,7,0,0,,0,0,0,,0,7,0,,7,5,0,,5,635197,591806,,1227003,,,,,285,88,,373,635482,591894,,1227376,548728,499311,,1048039,,,,,0,,,788,,,1048827,,,,,0,,,85.45,599,,,,,,,,1048228,,,,,65,1516,809,3
2009,, Diamond harbour,S25,21,,10,0,,10,0,0,,0,0,0,,0,10,0,,10,8,0,,8,692725,609229,,1301954,,,,,300,144,,444,693025,609373,,1302398,582527,471092,,1053619,,,,,0,,,493,,,1054112,,,,,44,,,80.94,0,,,,,,,,1054068,,,,,0,1611,808,1
2009,, Jadavpur,S25,22,,8,2,,10,0,0,,0,0,0,,0,8,2,,10,6,2,,8,683836,647302,,1331138,,,,,263,136,,399,684099,647438,,1331537,574950,508653,,1083603,,,,,0,,,1230,,,1084833,,,,,762,,,81.47,0,,,,,,,,1084071,,,,,0,1629,817,0
2009,, Kolkata Dakshin,S25,23,,9,4,,13,0,0,,0,0,0,,0,9,4,,13,8,3,,11,821147,683957,,1505104,,,,,343,191,,534,821490,684148,,1505638,556771,449070,,1005841,,,,,0,,,1384,,,1007225,,,,,280,,,66.9,0,,,,,,,,1006945,,,,,42,1863,807,0
2009,, Kolkata Uttar,S25,24,,14,0,,14,1,0,,1,0,0,,0,13,0,,13,11,0,,11,790186,576296,,1366482,,,,,104,61,,165,790290,576357,,1366647,511062,364794,,875856,,,,,0,,,1525,,,877381,,,,,40,,,64.2,0,,,,,,,,877341,,,,,6,1646,830,0
2009,, Howrah,S25,25,,15,1,,16,1,0,,1,0,0,,0,14,1,,15,12,1,,13,731678,612594,,1344272,,,,,340,134,,474,732018,612728,,1344746,563342,430014,,993356,,,,,0,,,602,,,993958,,,,,245,,,73.91,0,,,,,,,,993713,,,,,16,1651,814,5
2009,, Uluberia,S25,26,,9,0,,9,0,0,,0,0,0,,0,9,0,,9,7,0,,7,660385,590772,,1251157,,,,,328,105,,433,660713,590877,,1251590,540928,468774,,1009702,,,,,1,,,117,,,1009820,,,,,32,,,80.68,0,,,,,,,,1009788,,,,,79,1551,806,2
2009,, Srerampur,S25,27,,8,0,,8,0,0,,0,0,0,,0,8,0,,8,6,0,,6,734886,659855,,1394741,,,,,634,195,,829,735520,660050,,1395570,583048,497635,,1080683,,,,,0,,,719,,,1081402,,,,,142,,,77.49,0,,,,,,,,1081260,,,,,44,1714,813,3
2009,, Hooghly,S25,28,,8,1,,9,0,0,,0,0,0,,0,8,1,,9,7,0,,7,725405,678852,,1404257,,,,,1007,420,,1427,726412,679272,,1405684,608833,552351,,1161184,,,,,2,,,1460,,,1162646,,,,,128,,,82.71,0,,,,,,,,1162518,,,,,24,1756,799,0
2009,, Arambagh,S25,29,,6,0,,6,1,0,,1,0,0,,0,5,0,,5,3,0,,3,714754,659190,,1373944,,,,,1016,417,,1433,715770,659607,,1375377,609840,553218,,1163058,,,,,0,,,279,,,1163337,,,,,35,,,84.58,0,,,,,,,,1163302,,,,,25,1768,777,0
2009,, Tamluk,S25,30,,10,1,,11,1,0,,1,1,0,,1,8,1,,9,6,1,,7,658508,610800,,1269308,,,,,1429,493,,1922,659937,611293,,1271230,591090,556715,,1147805,,,,,0,,,401,,,1148206,,,,,308,,,90.32,0,,,,,,,,1147898,,,,,48,1608,789,0
2009,, Kanthi,S25,31,,4,0,,4,0,0,,0,0,0,,0,4,0,,4,2,0,,2,644216,602934,,1247150,,,,,1829,796,,2625,646045,603730,,1249775,577425,546485,,1123910,,,,,7,,,537,,,1124454,,,,,174,,,89.97,0,,,,,,,,1124280,,,,,48,1624,767,0
2009,, Ghatal,S25,32,,7,0,,7,0,0,,0,0,0,,0,7,0,,7,5,0,,5,694236,658797,,1353033,,,,,1353,475,,1828,695589,659272,,1354861,595150,574178,,1169328,,,,,0,,,606,,,1169934,,,,,165,,,86.35,0,,,,,,,,1169769,,,,,0,1774,762,0
2009,, Jhargram,S25,33,,8,1,,9,0,0,,0,1,0,,1,7,1,,8,5,1,,6,632026,608554,,1240580,,,,,680,314,,994,632706,608868,,1241574,499568,458340,,957908,,,,,0,,,466,,,958374,,,,,15,,,77.19,0,,,,,,,,958359,,,,,22,1754,707,2
2009,, Medinipur,S25,34,,11,0,,11,0,0,,0,1,0,,1,10,0,,10,8,0,,8,646951,615110,,1262061,,,,,668,254,,922,647619,615364,,1262983,539262,501960,,1041222,,,,,0,,,1274,,,1042496,,,,,39,,,82.54,0,,,,,,,,1042457,,,,,44,1673,754,0
2009,, Purulia,S25,35,,15,1,,16,1,1,,2,0,0,,0,14,0,,14,12,0,,12,648765,608629,,1257394,,,,,291,114,,405,649056,608743,,1257799,479667,423828,,903495,,,,,0,,,1023,,,904518,,,,,333,,,71.91,0,,,,,,,,904185,,,,,1,1584,793,0
2009,, Bankura,S25,36,,10,1,,11,0,0,,0,0,0,,0,10,1,,11,8,1,,9,659350,607555,,1266905,,,,,1196,462,,1658,660546,608017,,1268563,525488,457844,,983332,,,,,0,,,1517,,,984849,,,,,274,,,77.64,245,,,,,,,,984330,,,,,15,1688,750,0
2009,, Bishnupur,S25,37,,5,2,,7,0,0,,0,0,0,,0,5,2,,7,5,0,,5,645637,590333,,1235970,,,,,1432,546,,1978,647069,590879,,1237948,565571,488134,,1053705,,,,,0,,,483,,,1054188,,,,,350,,,85.16,39,,,,,,,,1053799,,,,,37,1622,762,2
2009,, Bardhaman Purba,S25,38,,7,0,,7,0,0,,0,0,0,,0,7,0,,7,5,0,,5,673256,614483,,1287739,,,,,1055,517,,1572,674311,615000,,1289311,595629,528200,,1123829,,,,,0,,,544,,,1124373,,,,,21,,,87.21,0,,,,,,,,1124352,,,,,32,1617,796,2
2009,, Burdwan - durgapur,S25,39,,8,2,,10,2,0,,2,0,0,,0,6,2,,8,5,1,,6,708529,643517,,1352046,,,,,895,439,,1334,709424,643956,,1353380,600921,532893,,1133814,,,,,0,,,1214,,,1135028,,,,,16,,,83.87,0,,,,,,,,1135012,,,,,110,1688,800,0
2009,, Asansol,S25,40,,8,0,,8,1,0,,1,0,0,,0,7,0,,7,5,0,,5,689030,560531,,1249561,,,,,374,117,,491,689404,560648,,1250052,518216,375261,,893477,,,,,0,,,227,,,893704,,,,,71,,,71.49,0,,,,,,,,893633,,,,,8,1563,799,1
2009,, Bolpur,S25,41,,6,1,,7,0,0,,0,0,0,,0,6,1,,7,4,1,,5,674224,631719,,1305943,,,,,1265,522,,1787,675489,632241,,1307730,569134,509283,,1078417,,,,,0,,,394,,,1078811,,,,,83,,,82.49,0,,,,,,,,1078728,,,,,17,1648,792,0
2009,, Birbhum,S25,42,,6,2,,8,0,0,,0,0,1,,1,6,1,,7,5,0,,5,635846,585317,,1221163,,,,,527,203,,730,636373,585520,,1221893,541517,475474,,1016991,,,,,0,,,502,,,1017493,,,,,116,,,83.27,0,,,,,,,,1017377,,,,,22,1548,788,0
2009,, SARGUJA,S26,1,,19,0,,19,1,0,,1,2,0,,2,16,0,,16,14,0,,14,667528,639119,,1306647,,,,,137,38,,175,667665,639157,,1306822,429491,375710,,805201,,,,,0,,,1,,,805202,,,,,6,,,61.62,0,,,,,,,,805196,,,,,0,1782,733,0
2009,, RAIGARH,S26,2,,9,2,,11,0,1,,1,0,0,,0,9,1,,10,7,1,,8,722682,709060,,1431742,,,,,678,326,,1004,723360,709386,,1432746,482629,453110,,935739,,,,,0,,,7,,,935746,,,,,3,,,65.31,0,,,,,,,,935743,,,,,61,2166,661,0
2009,, JANJGIR-CHAMPA,S26,3,,11,2,,13,0,0,,0,0,1,,1,11,1,,12,9,0,,9,775895,742095,,1517990,,,,,350,110,,460,776245,742205,,1518450,396783,340742,,737525,,,,,0,,,53,,,737578,,,,,23,,,48.57,0,,,,,,,,737555,,,,,3,1979,767,0
2009,, KORBA,S26,4,,17,5,,22,0,0,,0,4,0,,4,13,5,,18,12,4,,16,659550,616658,,1276208,,,,,191,44,,235,659741,616702,,1276443,399910,345671,,745581,,,,,0,,,31,,,745612,,,,,26,,,58.41,0,,,,,,,,745586,,,,,45,1813,703,1
2009,, BILASPUR,S26,5,,43,3,,46,2,0,,2,15,1,,16,26,2,,28,25,1,,26,757860,714338,,1472198,,,,,421,174,,595,758281,714512,,1472793,412221,357686,,769907,,,,,0,,,117,,,770024,,,,,52,,,52.28,0,,,,,,,,769972,,,,,28,1786,824,0
2009,, RAJNANDGAON,S26,6,,19,0,,19,1,0,,1,4,0,,4,14,0,,14,12,0,,12,706052,704797,,1410849,,,,,161,41,,202,706213,704838,,1411051,440273,390305,,830578,,,,,0,,,3,,,830581,,,,,6,,,58.86,0,,,,,,,,830575,,,,,16,2181,647,4
2009,, DURG,S26,7,,22,2,,24,3,0,,3,5,1,,6,14,1,,15,12,0,,12,829089,790393,,1619482,,,,,667,251,,918,829756,790644,,1620400,493738,411581,,905319,,,,,0,,,1018,,,906337,,,,,408,,,55.93,1047,,,,,,,,904882,,,,,9,1889,857,0
2009,, RAIPUR,S26,8,,30,2,,32,0,0,,0,0,0,,0,30,2,,32,28,2,,30,814377,763948,,1578325,,,,,405,138,,543,814782,764086,,1578868,408694,332987,,741681,,,,,0,,,180,,,741861,,,,,72,,,46.99,0,,,,,,,,741789,,,,,21,2018,782,0
2009,, MAHASAMUND,S26,9,,19,2,,21,4,1,,5,1,0,,1,14,1,,15,12,1,,13,683447,685397,,1368844,,,,,245,65,,310,683692,685462,,1369154,411564,364416,,775980,,,,,0,,,237,,,776217,,,,,117,,,56.69,0,,,,,,,,776100,,,,,17,1905,719,0
2009,, BASTAR,S26,10,,7,0,,7,0,0,,0,0,0,,0,7,0,,7,5,0,,5,583353,609705,,1193058,,,,,53,5,,58,583406,609710,,1193116,302915,261714,,564629,,,,,0,,,82,,,564711,,,,,51,,,47.33,0,,,,,,,,564660,,,,,0,1716,695,20
2009,, KANKER,S26,11,,11,2,,13,0,0,,0,2,0,,2,9,2,,11,8,1,,9,646031,649879,,1295910,,,,,616,208,,824,646647,650087,,1296734,391377,349842,,741219,,,,,0,,,573,,,741792,,,,,289,,,57.2,0,,,,,,,,741503,,,,,6,1744,743,0
2009,, Rajmahal,S27,1,,15,1,,16,3,0,,3,1,0,,1,11,1,,12,8,1,,9,593677,573907,,1167584,,,,,287,122,,409,593964,574029,,1167993,348263,296601,,644864,,,,,0,,,4,,,644868,,,,,9,,,55.21,368,,,,,,,,644491,,,,,0,1488,784,2
2009,, Dumka,S27,2,,17,3,,20,1,0,,1,0,0,,0,16,3,,19,14,3,,17,585543,542373,,1127916,,,,,339,106,,445,585882,542479,,1128361,342539,278724,,621263,,,,,0,,,749,,,622012,,,,,25,,,55.13,0,,,,,,,,621987,,,,,0,1643,686,7
2009,, Godda,S27,3,,25,1,,26,3,0,,3,0,0,,0,22,1,,23,19,1,,20,747240,664590,,1411830,,,,,308,115,,423,747548,664705,,1412253,443804,354751,,798555,,,,,0,,,87,,,798642,,,,,14,,,56.55,1020,,,,,,,,797608,,,,,0,2008,703,33
2009,, Chatra,S27,4,,16,1,,17,5,1,,6,0,0,,0,11,0,,11,9,0,,9,545875,491470,,1037345,,,,,247,73,,320,546122,491543,,1037665,273933,200011,,473944,,,,,0,,,3,,,473947,,,,,14,,,45.67,0,,,,,,,,473933,,,,,0,1413,734,11
2009,, Kodarma,S27,5,,16,0,,16,0,0,,0,0,0,,0,16,0,,16,14,0,,14,725603,664620,,1390223,,,,,146,59,,205,725749,664679,,1390428,427425,353094,,780519,,,,,0,,,19,,,780538,,,,,2,,,56.14,0,,,,,,,,780536,,,,,0,2101,661,8
2009,, Giridih,S27,6,,20,0,,20,2,0,,2,1,0,,1,17,0,,17,14,0,,14,732915,613436,,1346351,,,,,148,28,,176,733063,613464,,1346527,366682,252385,,619067,,,,,0,,,123,,,619190,,,,,2,,,45.98,0,,,,,,,,619188,,,,,0,1854,726,4
2009,, Dhanbad,S27,7,,36,1,,37,4,0,,4,1,0,,1,31,1,,32,29,1,,30,1005762,799821,,1805583,,,,,778,114,,892,1006540,799935,,1806475,452640,361441,,814081,,,,,0,,,127,,,814208,,,,,89,,,45.07,725,,,,,,,,813394,,,,,0,2132,846,12
2009,, Ranchi,S27,8,,27,3,,30,2,2,,4,0,0,,0,25,1,,26,23,1,,24,870137,754239,,1624376,,,,,663,109,,772,870800,754348,,1625148,421150,302946,,724096,,,,,0,,,10,,,724106,,,,,184,,,44.56,0,,,,,,,,723922,,,,,9,1898,856,1
2009,, Jamshedpur,S27,9,,29,3,,32,4,2,,6,0,0,,0,25,1,,26,24,0,,24,725455,654188,,1379643,,,,,471,165,,636,725926,654353,,1380279,394606,310957,,705563,,,,,0,,,5,,,705568,,,,,3,,,51.12,0,,,,,,,,705565,,,,,0,1626,848,1
2009,, Singhbhum,S27,10,,10,0,,10,1,0,,1,0,0,,0,9,0,,9,7,0,,7,484440,472437,,956877,,,,,396,133,,529,484836,472570,,957406,309954,271873,,581827,,,,,0,,,0,,,581827,,,,,0,,,60.77,1901,,,,,,,,579926,,,,,0,1342,713,6
2009,, Khunti,S27,11,,9,1,,10,0,0,,0,1,0,,1,8,1,,9,6,1,,7,498029,482185,,980214,,,,,462,192,,654,498491,482377,,980868,272165,238160,,510325,,,,,0,,,18,,,510343,,,,,9,,,52.03,0,,,,,,,,510334,,,,,0,1392,704,7
2009,, Lohardaga,S27,12,,15,2,,17,1,0,,1,1,0,,1,13,2,,15,10,2,,12,505022,475215,,980237,,,,,1059,370,,1429,506081,475585,,981666,281511,242852,,524363,,,,,0,,,39,,,524402,,,,,15,,,53.42,2024,,,,,,,,522363,,,,,0,1438,681,7
2009,, Palamau,S27,13,,19,3,,22,0,0,,0,0,1,,1,19,2,,21,17,2,,19,754338,662389,,1416727,,,,,466,182,,648,754804,662571,,1417375,381609,269958,,651567,,,,,0,,,12,,,651579,,,,,3,,,45.97,317,,,,,,,,651259,,,,,0,1873,756,17
2009,, Hazaribagh,S27,14,,16,1,,17,3,0,,3,1,0,,1,12,1,,13,10,1,,11,703909,597184,,1301093,,,,,452,106,,558,704361,597290,,1301651,391629,299306,,690935,,,,,0,,,8,,,690943,,,,,15,,,53.08,0,,,,,,,,690928,,,,,1,1736,749,8
2009,, Tehri Garhwal,S28,1,,22,2,,24,4,0,,4,2,0,,2,16,2,,18,14,2,,16,595058,553045,,1148103,,,,,8141,3447,,11588,603199,556492,,1159691,314030,268055,,582085,,,,,0,,,2211,,,584296,,,,,710,,,50.38,221,,,,,,,,583365,,,,,0,1840,624,0
2009,, Garhwal,S28,2,,14,0,,14,0,0,,0,1,0,,1,13,0,,13,11,0,,11,512109,540928,,1053037,,,,,27543,11702,,39245,539652,552630,,1092282,259894,264748,,524642,,,,,0,,,9201,,,533843,,,,,3161,,,48.87,275,,,,,,,,530407,,,,,6,1876,561,0
2009,, Almora,S28,3,,7,3,,10,0,0,,0,0,0,,0,7,3,,10,5,3,,8,499639,528612,,1028251,,,,,18742,10386,,29128,518381,538998,,1057379,248734,230195,,478929,,,,,0,,,1828,,,480757,,,,,694,,,45.47,0,,,,,,,,480063,,,,,0,1779,578,0
2009,, Nainital-udhamsingh Nagar,S28,4,,20,2,,22,4,1,,5,3,0,,3,13,1,,14,10,1,,11,672153,604040,,1276193,,,,,5456,2443,,7899,677609,606483,,1284092,418821,334322,,753143,,,,,0,,,539,,,753682,,,,,274,,,58.69,0,,,,,,,,753408,,,,,1,1726,744,0
2009,, Hardwar,S28,5,,31,2,,33,8,0,,8,3,1,,4,20,1,,21,17,1,,18,695002,593812,,1288814,,,,,3699,1767,,5466,698701,595579,,1294280,443581,344006,,787587,,,,,0,,,534,,,788121,,,,,280,,,60.89,158,,,,,,,,787683,,,,,3,1784,722,0
2009,, Andaman & nicobar islands,U01,1,,17,2,,19,0,0,,0,7,1,,8,10,1,,11,8,1,,9,141096,123940,,265036,,,,,53,19,,72,141149,123959,,265108,91740,78359,,170099,,,,,0,,,4,,,170103,,,,,0,,,64.16,0,,,,,,,,170103,,,,,12,345,768,0
2009,, Chandigarh,U02,1,,21,2,,23,7,1,,8,1,0,,1,13,1,,14,10,1,,11,290669,231981,,522650,,,,,997,797,,1794,291666,232778,,524444,192358,151176,,343534,,,,,0,,,23,,,343557,,,,,1,,,65.51,0,,,,,,,,343556,,,,,6,422,1238,0
2009,, Dadar & Nagar Haveli,U03,1,,9,0,,9,3,0,,3,1,0,,1,5,0,,5,3,0,,3,81049,69635,,150684,,,,,12,8,,20,81061,69643,,150704,57746,52617,,110363,,,,,0,,,0,,,110363,,,,,0,,,73.23,0,,,,,,,,110363,,,,,0,160,942,0
2009,, Daman & diu,U04,1,,8,2,,10,1,1,,2,0,1,,1,7,0,,7,5,0,,5,48349,47023,,95372,,,,,8,2,,10,48357,47025,,95382,32502,35522,,68024,,,,,0,,,0,,,68024,,,,,1,,,71.32,0,,,,,,,,68023,,,,,6,93,1025,7
2009,, CHANDNI CHOWK,U05,1,,39,5,,44,1,1,,2,1,0,,1,37,4,,41,35,4,,39,783434,629930,,1413364,,,,,111,60,,171,783545,629990,,1413535,450917,329465,,780382,,,,,0,,,63,,,780445,,,,,1,,,55.21,0,,,,,,,,780444,,,,,0,1497,944,0
2009,, NORTH EAST DELHI,U05,2,,28,2,,30,11,1,,12,2,0,,2,15,1,,16,13,1,,14,930985,745821,,1676806,,,,,157,95,,252,931142,745916,,1677058,508600,369793,,878393,,,,,0,,,24,,,878417,,,,,9,,,52.38,513,,,,,,,,877895,,,,,1,1586,1057,0
2009,, EAST DELHI,U05,3,,22,3,,25,7,1,,8,0,0,,0,15,2,,17,13,2,,15,892621,711676,,1604297,,,,,313,185,,498,892934,711861,,1604795,491396,365994,,857390,,,,,0,,,16,,,857406,,,,,26,,,53.43,0,,,,,,,,857380,,,,,1,1631,983,0
2009,, NEW DELHI,U05,4,,49,6,,55,13,2,,15,0,0,,0,36,4,,40,34,4,,38,766657,605549,,1372206,,,,,565,375,,940,767222,605924,,1373146,437325,327534,,764859,,,,,3,,,159,,,765021,,,,,4,,,55.71,0,,,,,,,,765017,,,,,4,1540,891,2
2009,, NORTH WEST DELHI,U05,5,,19,3,,22,6,0,,6,0,0,,0,13,3,,16,13,1,,14,1002036,795207,,1797243,,,,,634,304,,938,1002670,795511,,1798181,494908,362614,,857522,,,,,0,,,21,,,857543,,,,,2,,,47.69,0,,,,,,,,857541,,,,,0,1665,1079,0
2009,, WEST DELHI,U05,6,,21,4,,25,7,1,,8,1,1,,2,13,2,,15,11,2,,13,919425,767105,,1686530,,,,,781,416,,1197,920206,767521,,1687727,502003,382016,,884019,,,,,0,,,111,,,884130,,,,,38,,,52.39,693,,,,,,,,883399,,,,,9,1689,998,0
2009,, SOUTH DELHI,U05,7,,16,4,,20,3,1,,4,0,1,,1,13,2,,15,11,2,,13,890768,651073,,1541841,,,,,388,183,,571,891156,651256,,1542412,434776,296480,,731256,,,,,0,,,38,,,731294,,,,,20,,,47.41,0,,,,,,,,731274,,,,,5,1738,887,2
2009,, Lakshadweep,U06,1,,7,0,,7,3,0,,3,0,0,,0,4,0,,4,2,0,,2,23464,22472,,45936,,,,,38,9,,47,23502,22481,,45983,19721,19777,,39498,,,,,0,,,0,,,39498,,,,,0,,,85.9,0,,,,,,,,39498,,,,,6,40,1148,0
2009,, Puducherry,U07,1,,33,0,,33,3,0,,3,2,0,,2,28,0,,28,26,0,,26,366788,395240,,762028,,,,,285,127,,412,367073,395367,,762440,293090,315383,,608473,,,,,0,,,30,,,608503,,,,,6,,,79.81,555,,,,,,,,607942,,,,,5,856,890,0
2004, ANDHRA PRADESH, SRIKAKULAM,S01,1,GEN,6,1,,7,2,0,,2,0,0,,0,4,1,,5,3,0,,3,454220,501288,,955508,,,,,2416,702,,3118,456636,501990,,958626,350869,372144,,723013,,,,,0,,,935,,,723948,,,,,17,77.25,74.24,75.52,157,,,,,,,,723774,,,,,6,1077,890,1
2004, ANDHRA PRADESH, PARVATHIPURAM,S01,2,ST,7,0,,7,0,0,,0,3,0,,3,4,0,,4,2,0,,2,431539,463435,,894974,,,,,1073,289,,1362,432612,463724,,896336,331841,328371,,660212,,,,,0,,,720,,,660932,,,,,9,76.9,70.86,73.74,0,,,,,,,,660923,,,,,23,996,900,1
2004, ANDHRA PRADESH, BOBBILI,S01,3,GEN,4,1,,5,0,0,,0,1,0,,1,3,1,,4,2,0,,2,474321,500873,,975194,,,,,660,158,,818,474981,501031,,976012,372376,373141,,745517,,,,,0,,,1555,,,747072,,,,,347,78.51,74.5,76.54,0,,,,,,,,746725,,,,,19,1072,910,3
2004, ANDHRA PRADESH, VISAKHAPATNAM,S01,4,GEN,14,0,,14,3,0,,3,1,0,,1,10,0,,10,8,0,,8,750575,762873,,1513448,,,,,1462,664,,2126,752037,763537,,1515574,499805,465930,,965735,,,,,0,,,393,,,966128,,,,,18,66.59,61.08,63.75,370,,,,,,,,965740,,,,,16,1527,993,0
